Genus,Label.Guild,x,y
Alcyonidium,Su/FF,-30,19.5
Boreogadus (Lagoon),Fish,-12.5,4
Calanus,Su/FF,-30,19.5
Cylichna,Ss/De,-30,19.5
Eucratea,Su/FF,-30,19.5
Gammarus,Ep/Om,-30,19.5
Halicryptus,Ss/De,-30,19.5
Liocyma,Su/FF,-30,19.5
Lumpenus,Fish,-12.5,4
Myoxocephalus (Lagoon),Fish,-12.5,4
Myoxocephalus (Shelf),Fish,-12.5,4
Mysis,Ep/Om,-30,19.5
Mysis-NU,Ep/Om,-30,19.5
Nereimyra,Ep/Om,-30,19.5
Onisimus,Ep/Om,-30,19.5
Pleuronectes,Fish,-12.5,4
Pontoporeia ,Ss/De,-30,19.5
Portlandia ,Ss/De,-30,19.5
Priapulus,Ss/De,-30,19.5
Saduria,Ep/Om,-30,19.5
Salvelinus,Fish,-12.5,4
Terebellides,Ep/Om,-30,19.5
