Genus,Label.POM,x,y,size
Alcyonidium,Shelf POM,-22,14,3
Boreogadus (Lagoon),Shelf POM,-22,18.5,3
Calanus,Shelf POM,-22,14,3
Cylichna,Shelf POM,-22,14,3
Eucratea,Shelf POM,-22,14,3
Gammarus,Shelf POM,-22,14,3
Halicryptus,Shelf POM,-22,14,3
Liocyma,Shelf POM,-22,14,3
Lumpenus,Shelf POM,-22,18.5,3
Myoxocephalus (Lagoon),Shelf POM,-22,18.5,3
Myoxocephalus (Shelf),Shelf POM,-22,18.5,3
Mysis,Shelf POM,-22,14,3
Mysis-NU,Shelf POM,-22,14,3
Nereimyra,Shelf POM,-22,14,3
Onisimus,Shelf POM,-22,14,3
Pleuronectes,Shelf POM,-22,18.5,3
Pontoporeia ,Shelf POM,-22,14,3
Portlandia ,Shelf POM,-22,14,3
Priapulus,Shelf POM,-22,14,3
Saduria,Shelf POM,-22,14,3
Salvelinus,Shelf POM,-22,18.5,3
Terebellides,Shelf POM,-22,14,3
