Genus,xmin,xmax,ymin,ymax
Alcyonidium,-23.6,-20.4,9.1,12.7
Boreogadus (Lagoon),-23.6,-18.4,11.5,17.1
Calanus,-23.6,-20.4,9.1,12.7
Cylichna,-23.6,-20.4,9.1,12.7
Eucratea,-23.6,-20.4,9.1,12.7
Gammarus,-23.6,-20.4,9.1,12.7
Halicryptus,-23.6,-20.4,9.1,12.7
Liocyma,-23.6,-20.4,9.1,12.7
Lumpenus,-23.6,-18.4,11.5,17.1
Myoxocephalus (Lagoon),-23.6,-18.4,11.5,17.1
Myoxocephalus (Shelf),-23.6,-18.4,11.5,17.1
Mysis,-23.6,-20.4,9.1,12.7
Mysis-NU,-23.6,-20.4,9.1,12.7
Nereimyra,-23.6,-20.4,9.1,12.7
Onisimus,-23.6,-20.4,9.1,12.7
Pleuronectes,-23.6,-18.4,11.5,17.1
Pontoporeia ,-23.6,-20.4,9.1,12.7
Portlandia ,-23.6,-20.4,9.1,12.7
Priapulus,-23.6,-20.4,9.1,12.7
Saduria,-23.6,-20.4,9.1,12.7
Salvelinus,-23.6,-18.4,11.5,17.1
Terebellides,-23.6,-20.4,9.1,12.7
